,,,,,,,,,,,,,,,
Integrated Cold Chain Availability Platform (ICAP) of ANDHRA PRADESH for Year: 2010 - 2011 onwards as on date,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Name of Agency: NATIONAL HORTICULTURE BOARD (NHB),,,,,,,,,,,,,,,
"Component Category: COLD / CA STORAGE,POST HARVEST INFRASTRUCTURE",,,,,,,,,,,,,,,
"Component: CA STORAGE,COLD STORAGE,COLD ROOM,CONVEYOR BELT,GRADING PACKING UNIT,PACK HOUSE,PRE-COOLING,REFER VAN,RIPENING CHAMBER,SPECIALIZED TRANSPORT VEHICLE",,,,,,,,,,,,,,,
District: ALL,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Sl. No.,Project Code,State,Year of Subsidy Sanctioned,District,Name of Beneficiary,Project Address,Total Project Cost(In Lakhs),Total Amount Sanctioned (In Lakhs),Supported By,Current Status of Project,Component Details,,,,
,,,,,,,,,,,Component Category,Component,No. of Unit(s) / Chamber(s),Capacity,Unit of Capacity
Sl. No.,Project Code,State,Year of Subsidy Sanctioned,District,Name of Beneficiary,Project Address,Total Project Cost(In Lakhs),Total Amount Sanctioned (In Lakhs),Supported By,Current Status of Project,Component Details,,,,
,,,,,,,,,,,Component Category,Component,No. of Unit(s) / Chamber(s),Capacity,Unit of Capacity
67,28AP20100000062,Andhra Pradesh,2010-11,Guntur,"M/s Lakshmi Narasimha Cold Storage Pvt. Ltd., ( Vanakuri Sambi Reddy & Smt. V.Atchamma)","D. No. 658/A, 659/B, 660/A, Ankireddy Palem Village, Guntur District",0,50,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,5438,MT
68,28AP20100000060,Andhra Pradesh,2010-11,Guntur,"M/s Pranati Cold Storage (Shri. P. Suresh kumar & Smt. P. Padmaja),","D No 557/3 & 553, Arundelpet, Ankireddypalem, Guntur",0,25,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,7705,MT
69,28AP20100000059,Andhra Pradesh,2010-11,Prakasam,M/sJayagopala Cold Storage ( Koneru Nagamani Devi & K. Susmith),"Sy. No.306/1, 306/2, 306/3, Suravarapalle Village, Yeddanapudi Mandal, Prakasam District",0,50,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,5449,MT
70,28AP20110000065,Andhra Pradesh,2010-11,Krishna,M/s Kakarla Cold Storage ( Kakarla Nagabhushana Rao),"D NO.12-10-47, I Floor, Rishabh Towers, Convent street, Vijayawada",0,50,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,11693,MT
71,28AP20110000064,Andhra Pradesh,2010-11,Guntur,M/s Sri Lakshmi Lavanya Cold Storages ( Athukuri Satyanarayana & A. Sambasiva Rao),"Door No.3/2 & 4, NH -5, Lalpuram Donka, Ethukuru Village, Guntur",0,50,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,8527.8,MT
72,28AP20110000066,Andhra Pradesh,2010-11,Guntur,M/s Boppudi Cold Storage ( Sri R V Subba Rao),"S.No. 454,492, NH-5, Boppudi Village, Chilkaluri pet mandal, Guntur ",0,50,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,5800.36,MT
73,28AP20110000067,Andhra Pradesh,2010-11,Prakasam,M/s Sri Cold Storage ( Shri. Balineni Siva Vengala Reddy),"Plot no.168,169 & 182, Industrial Growth Centre, Gundlapalli Village, Maddipadu Mandal, Prakasam ",0,50,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,6246,MT
74,28AAP0CS000002,Andhra Pradesh,2011-12,Chittoor,Himaja Alloys Private Limited,"Village-Mugilli, Taluka-Punganur, Dist-Chittoor (Andhra Pradesh)",1668,546.27,NHB,Completed,COLD / CA STORAGE,CA STORAGE,20,5000,MT
75,28AAP0CS000003,Andhra Pradesh,2011-12,Guntur,Sree Venkata Sai Raghavendra Cold Storage Pvt. Ltd,"Village-Ankireddy Palem, Taluka-Guntur Rural, Dist-Guntur (Andhra Pradesh)",734,85.47,NHB,Completed,COLD / CA STORAGE,COLD STORAGE,3,4998,MT
76,28AAP0CS000006,Andhra Pradesh,2011-12,Guntur,Prudhvi Cold Storage Pvt. Ltd.,"Village-Vaddavalli, Taluka-Sattenapalle, Dist-Guntur (Andhra Pradesh)",450,62.07,NHB,Completed,COLD / CA STORAGE,COLD STORAGE,2,3922,MT
77,28AAP0CS000007,Andhra Pradesh,2011-12,Guntur,Sri Chandra Sekhara Cold Storage Pvt. Ltd.,"Village-Lingayapalem, Taluka-Anki reddy Palem Sivaru, Dist-Guntur (Andhra Pradesh)",452.83,74.59,NHB,Completed,COLD / CA STORAGE,COLD STORAGE,4,5000,MT
78,28AAP0CS000008,Andhra Pradesh,2011-12,Guntur,Y.C.R Cold Storage,"Village-Medikonduru, Taluka-Medikonduru, Dist-Guntur (Andhra Pradesh)",483.91,62.07,NHB,Completed,COLD / CA STORAGE,COLD STORAGE,2,3922,MT
79,28AAP0CS000012,Andhra Pradesh,2012-13,Guntur,Sri Venkateswara Cold Storage,"Village-Prathipadu, Taluka-Prathipadu, Dist-Guntur (Andhra Pradesh)",440,62.07,NHB,Completed,COLD / CA STORAGE,COLD STORAGE,2,3922,MT
80,28AP20130000068,Andhra Pradesh,2012-13,Prakasam,Sri Vasavi Cold Storage,"Sri Vasavi Cold Storage, Sy No 300/1, Pusapadu village, Inkollu Mandal, Prakasam District",0,50,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,6095,MT
